id,tweet,replies_count,retweets_count,likes_count,datetime,dog_name,rating_numerator,rating_denominator,dog_stage,breed_prediction
1367943120906686466,"This is Otis. He broke his femur jumping out of a moving car. He admits it wasn’t his best idea, but it seemed fun at the time. We’ve covered the remaining cost of his care. Please consider getting your pup a seatbelt and pet medical insurance. It’s best to be puppared. 13/10  https://t.co/zqN07Ivxqi",148,1672,27796,2021-03-06 00:00:29-03:00,Otis,13,10,,kelpie
1367882960406421507,"This is King. He’s been living on the streets for years. His hip is severely dislocated, indicating he was hit by a car at some point. The rescue who saved him found him a foster home, but he needs surgery ASAP. You can help King by clicking below. 13/10   https://t.co/HaKPwcklSQ  https://t.co/0bT12ZQonG",99,2224,22729,2021-03-05 20:01:26-03:00,King,13,10,,dingo
1367216213915443201,"This is Minnie. She’s the Executive Pen Transporter for this office. As you can see, she takes her job very seriously. 13/10  https://t.co/xiYD7wK4Ja",1256,29356,195085,2021-03-03 23:52:01-03:00,Minnie,13,10,,dingo
1367160218337959941,This is Tuk Tuk. He’s the cutest travel companion a warrior princess could ever ask for. 14/10 would save the world with #TukTuk @DisneyRaya #ad  https://t.co/XuHid5IZEj,199,1043,18565,2021-03-03 20:09:31-03:00,Tuk Tuk,14,10,,dingo
1366831649690816513,This is Gussie. She took over your Zoom call while you were in the bathroom. Has been invited to stay. She actually has your job now. 12/10  https://t.co/mm3kP9sxhx,426,7777,105478,2021-03-02 22:23:54-03:00,Gussie,12,10,,Labrador_retriever
1366797703234031617,We’re excited to announce our partner @Trupanion is now available through @StateFarm! And here are some dogs dressed like @JakeStateFarm to celebrate. 13/10 for all  https://t.co/VPa5UFdqHu,119,1172,20673,2021-03-02 20:09:00-03:00,,13,10,,golden_retriever
1366473590477000704,This is Rivers. So far no one has realized he is not a horse. His plan is going perfectly. Soon he will have all the hay he wants. 13/10  https://t.co/IAOI5urJfw,517,5777,98423,2021-03-01 22:41:06-03:00,Rivers,13,10,,Labrador_retriever
1365423820157280259,"This is Kovu. He tried to kiss a snake, but it bit him on the tongue. Had to spend a couple expensive days at the hospital on anti-venom treatment. We’ve covered the remaining cost of his care. Please consider getting pet medical insurance. It’s best to be puppared. 13/10  https://t.co/f1YhVo3bWo",193,1827,31603,2021-02-27 01:09:41-03:00,Kovu,13,10,,Siberian_husky
1365368942756130816,"This is Jiho. He was born with deformities of his front legs. He’s made progress with his mobility under the care of his foster family, but now that he’s old enough, it’s time for surgery to amputate. You can help Jiho by clicking the link below. 13/10   https://t.co/9dABuWH16t  https://t.co/pLqsAYpOgG",115,1607,19642,2021-02-26 21:31:37-03:00,Jiho,13,10,,chinese_rural_dog
1365104406123843585,"This is Betty and Rhett. Rhett just wanted ONE toy to play with, but Betty got to them first. She always does this. 14/10 for Rhett, 13/10 for Betty  https://t.co/W3fNpTTkGM",555,10181,107802,2021-02-26 04:00:27-03:00,Rhett,14,10,,golden_retriever
